Kernel,Outer,Inner,Reduction,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_Outer,log_Inner,log_VarDecl,log_refExpr,log_intLiteral,log_floatLiteral,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
wilson_dslash_combined_swap_384_16,16,384,0,3053953,764130048,414223489,0,0,0,28963584,64880640,31850496,66060288,76677120,0,393216,20054016,1.204119983,2.584331225,6.484862351,8.883167281,8.617234725,0,0,0,7.461852304,7.812115128,7.503116202,7.819940465,7.884665795,0,5.594631183,7.302201359,216829
wilson_dslash_combined_swap_384_256,256,384,0,3053953,764130048,414223489,0,0,0,28963584,64880640,31850496,66060288,76677120,0,393216,20054016,2.408239966,2.584331225,6.484862351,8.883167281,8.617234725,0,0,0,7.461852304,7.812115128,7.503116202,7.819940465,7.884665795,0,5.594631183,7.302201359,3462093
wilson_dslash_combined_swap_384_384,384,384,0,3053953,764130048,414223489,0,0,0,28963584,64880640,31850496,66060288,76677120,0,393216,20054016,2.584331225,2.584331225,6.484862351,8.883167281,8.617234725,0,0,0,7.461852304,7.812115128,7.503116202,7.819940465,7.884665795,0,5.594631183,7.302201359,5192379
wilson_dslash_combined_swap_512_128,128,512,0,4071937,1018840064,552297985,0,0,0,38618112,86507520,42467328,88080384,102236160,0,524288,26738688,2.107209970,2.709269962,6.609801052,9.008106017,8.742173462,0,0,0,7.586791040,7.937053865,7.628054939,7.944879202,8.009604532,0,5.719569919,7.427140096,1749487
wilson_dslash_combined_swap_512_16,16,512,0,4071937,1018840064,552297985,0,0,0,38618112,86507520,42467328,88080384,102236160,0,524288,26738688,1.204119983,2.709269962,6.609801052,9.008106017,8.742173462,0,0,0,7.586791040,7.937053865,7.628054939,7.944879202,8.009604532,0,5.719569919,7.427140096,217044
wilson_dslash_combined_swap_512_256,256,512,0,4071937,1018840064,552297985,0,0,0,38618112,86507520,42467328,88080384,102236160,0,524288,26738688,2.408239966,2.709269962,6.609801052,9.008106017,8.742173462,0,0,0,7.586791040,7.937053865,7.628054939,7.944879202,8.009604532,0,5.719569919,7.427140096,3466406
wilson_dslash_combined_swap_640_128,128,640,0,5089921,1273550080,690372481,0,0,0,48272640,108134400,53084160,110100480,127795200,0,655360,33423360,2.107209970,2.806179975,6.706711044,9.105016031,8.839083475,0,0,0,7.683701053,8.033963877,7.724964952,8.041789215,8.106514545,0,5.816479932,7.524050109,1734035
wilson_dslash_combined_swap_640_16,16,640,0,5089921,1273550080,690372481,0,0,0,48272640,108134400,53084160,110100480,127795200,0,655360,33423360,1.204119983,2.806179975,6.706711044,9.105016031,8.839083475,0,0,0,7.683701053,8.033963877,7.724964952,8.041789215,8.106514545,0,5.816479932,7.524050109,217022
wilson_dslash_combined_swap_640_256,256,640,0,5089921,1273550080,690372481,0,0,0,48272640,108134400,53084160,110100480,127795200,0,655360,33423360,2.408239966,2.806179975,6.706711044,9.105016031,8.839083475,0,0,0,7.683701053,8.033963877,7.724964952,8.041789215,8.106514545,0,5.816479932,7.524050109,3469810
wilson_dslash_combined_swap_768_128,128,768,0,6107905,1528260096,828446977,0,0,0,57927168,129761280,63700992,132120576,153354240,0,786432,40108032,2.107209970,2.885361221,6.785892276,9.184197277,8.918264720,0,0,0,7.762882300,8.113145124,7.804146198,8.120970461,8.185695791,0,5.895661178,7.603231355,1736673
wilson_dslash_combined_swap_768_16,16,768,0,6107905,1528260096,828446977,0,0,0,57927168,129761280,63700992,132120576,153354240,0,786432,40108032,1.204119983,2.885361221,6.785892276,9.184197277,8.918264720,0,0,0,7.762882300,8.113145124,7.804146198,8.120970461,8.185695791,0,5.895661178,7.603231355,217428
wilson_dslash_combined_swap_896_128,128,896,0,7125889,1782970112,966521473,0,0,0,67581696,151388160,74317824,154140672,178913280,0,917504,46792704,2.107209970,2.952308010,6.852839055,9.251144066,8.985211510,0,0,0,7.829829089,8.180091913,7.871092988,8.187917251,8.252642581,0,5.962607968,7.670178145,1739144
wilson_dslash_combined_swap_896_16,16,896,0,7125889,1782970112,966521473,0,0,0,67581696,151388160,74317824,154140672,178913280,0,917504,46792704,1.204119983,2.952308010,6.852839055,9.251144066,8.985211510,0,0,0,7.829829089,8.180091913,7.871092988,8.187917251,8.252642581,0,5.962607968,7.670178145,217654
